filename,xmin,ymin,xmax,ymax,has_liquid,liquid_level,pose,liquid_type,source,det_conf,det_status
-on-white-background-transparent-plastic-pet-bottle-of-mineral-water-2DA55DY_85_11zon.jpeg,286,151,626,1140,1,full,unknown,water,Full  Water level/Full  Water level/-on-white-background-transparent-plastic-pet-bottle-of-mineral-water-2DA55DY_85_11zon.jpeg,0.800797,yolo_best_non_bottle
01-waterbottlesun_20190719_0023_2x3_1_11zon.jpeg,645,330,1296,2613,1,full,unknown,water,Full  Water level/Full  Water level/01-waterbottlesun_20190719_0023_2x3_1_11zon.jpeg,0.447552,yolo_best_non_bottle
0bnC0a9OdzJtymklrmne_1_11zon.jpeg,0,0,360,380,1,full,unknown,water,Full  Water level/Full  Water level/0bnC0a9OdzJtymklrmne_1_11zon.jpeg,0.000000,fallback_full_image
1-0l-fresh-water-bottle-mockup_358694-280_3_11zon.jpeg,253,89,361,402,1,full,unknown,water,Full  Water level/Full  Water level/1-0l-fresh-water-bottle-mockup_358694-280_3_11zon.jpeg,0.918446,yolo_bottle
1000_F_181641215_ZAQ5NSDRONequztAW4ipiNfPlyuEa3s0_19_11zon.jpeg,360,78,633,942,1,full,unknown,water,Full  Water level/Full  Water level/1000_F_181641215_ZAQ5NSDRONequztAW4ipiNfPlyuEa3s0_19_11zon.jpeg,0.801207,yolo_best_non_bottle
1000_F_251350383_qpgK1Q0u3nBLak8CjH7rENWlY7NRbLwI_21_11zon.jpeg,374,52,566,422,1,full,unknown,water,Full  Water level/Full  Water level/1000_F_251350383_qpgK1Q0u3nBLak8CjH7rENWlY7NRbLwI_21_11zon.jpeg,0.433497,yolo_bottle
1000_F_294537209_JaQefXgA0A6O37NfDHTib6zROQcHT9Jd_22_11zon.jpeg,610,309,711,646,1,full,unknown,water,Full  Water level/Full  Water level/1000_F_294537209_JaQefXgA0A6O37NfDHTib6zROQcHT9Jd_22_11zon.jpeg,0.854935,yolo_bottle
108-1086053_transparent-background-water-bottle-png-png-download.png,217,25,639,1182,1,full,unknown,water,Full  Water level/Full  Water level/108-1086053_transparent-background-water-bottle-png-png-download.png,0.721110,yolo_best_non_bottle
11178-Different_types_of_water_facebook-1200x628-1-1200x628_39_11zon.jpeg,0,0,1200,628,1,full,unknown,water,Full  Water level/Full  Water level/11178-Different_types_of_water_facebook-1200x628-1-1200x628_39_11zon.jpeg,0.000000,fallback_full_image
11178-Different_types_of_water_header-1296x728_25_11zon.jpeg,0,0,1296,728,1,full,unknown,water,Full  Water level/Full  Water level/11178-Different_types_of_water_header-1296x728_25_11zon.jpeg,0.000000,fallback_full_image
11526496-two-blue-transparent-bottle-with-water-isolated-on-a-white-background_31_11zon.jpeg,96,136,395,1219,1,full,unknown,water,Full  Water level/Full  Water level/11526496-two-blue-transparent-bottle-with-water-isolated-on-a-white-background_31_11zon.jpeg,0.847551,yolo_best_non_bottle
137-1370739_water-bottle-png-image-file-plastic-bottle-transparent.png,359,73,674,1132,1,full,unknown,water,Full  Water level/Full  Water level/137-1370739_water-bottle-png-image-file-plastic-bottle-transparent.png,0.688316,yolo_best_non_bottle
148-1488904_transparent-raindrop-water-bottle-water-jug-transparent-background.png,226,25,685,830,1,full,unknown,water,Full  Water level/Full  Water level/148-1488904_transparent-raindrop-water-bottle-water-jug-transparent-background.png,0.283197,yolo_best_non_bottle
16-167008_water-bottle-png-water-bottle-transparent-background-png.png,0,0,860,2401,1,full,unknown,water,Full  Water level/Full  Water level/16-167008_water-bottle-png-water-bottle-transparent-background-png.png,0.000000,fallback_full_image
